1717772108096, 2, 0, 90
1717772108106, 2, 0, 112
1717772108116, 2, 0, 0
1717772108126, 2, 0, 0
1717772108138, 2, 0, 0
1717772108149, 2, 0, 0
1717772108159, 2, 0, 0
1717772108170, 2, 0, 0
1717772108180, 2, 0, 0
1717772108191, 2, 0, 0
1717772108201, 2, 0, 23
1717772108211, 2, 0, 0
1717772108222, 2, 0, 0
1717772108232, 2, 0, 0
1717772108242, 2, 0, 0
1717772108253, 2, 0, 0
1717772108263, 2, 0, 23
1717772108275, 2, 0, 0
1717772108285, 2, 0, 0
1717772108296, 2, 0, 23
1717772108307, 2, 0, 0
1717772108317, 2, 0, 23
1717772108329, 2, 0, 0
1717772108339, 2, 0, 23
1717772108349, 2, 0, 0
1717772108360, 2, 0, 23
1717772108370, 2, 0, 23
1717772108382, 2, 0, 0
1717772108393, 2, 0, 23
1717772108404, 2, 0, 23
1717772108414, 2, 0, 23
1717772108426, 2, 0, 23
1717772108437, 2, 0, 23
1717772108448, 2, 0, 23
1717772108459, 2, 0, 23
1717772108469, 2, 0, 45
1717772108480, 2, 0, 23
1717772108490, 2, -1, 23
1717772108500, 2, -1, 45
1717772108511, 2, -1, 23
1717772108521, 2, -1, 45
1717772108531, 2, -1, 45
1717772108542, 2, -1, 23
1717772108552, 2, -1, 45
1717772108562, 2, -1, 45
1717772108572, 2, -1, 45
1717772108583, 2, -1, 67
1717772108593, 2, -1, 45
1717772108603, 2, -1, 45
1717772108615, 2, -1, 67
1717772108625, 2, -2, 45
1717772108636, 2, -2, 67
1717772108646, 2, -2, 45
1717772108656, 2, -2, 67
1717772108667, 2, -2, 67
1717772108677, 2, -2, 67
1717772108687, 2, -2, 67
1717772108697, 2, -2, 67
1717772108708, 2, -2, 90
1717772108718, 2, -3, 67
1717772108729, 2, -3, 90
1717772108739, 2, -3, 67
1717772108750, 2, -3, 90
1717772108760, 2, -3, 90
1717772108771, 2, -3, 90
1717772108781, 2, -3, 90
1717772108792, 2, -4, 112
1717772108802, 2, -4, 90
1717772108813, 2, -4, 90
1717772108824, 2, -4, 112
1717772108835, 2, -4, 112
1717772108845, 2, -5, 112
1717772108855, 2, -5, 112
1717772108866, 2, -5, 112
1717772108876, 2, -5, 112
1717772108887, 2, -5, 134
1717772108898, 2, -5, 112
1717772108908, 2, -6, 134
1717772108919, 2, -6, 134
1717772108929, 2, -6, 112
1717772108939, 2, -6, 156
1717772108949, 2, -7, 134
1717772108960, 2, -7, 134
1717772108971, 2, -7, 156
1717772108981, 2, -7, 134
1717772108991, 2, -8, 156
1717772109002, 2, -8, 156
1717772109012, 2, -8, 156
1717772109023, 2, -8, 156
1717772109033, 2, -9, 179
1717772109044, 2, -9, 156
1717772109054, 2, -9, 179
1717772109064, 2, -10, 179
1717772109075, 2, -10, 179
1717772109085, 2, -10, 179
1717772109095, 2, -11, 179
1717772109105, 2, -11, 201
1717772109116, 2, -11, 179
1717772109127, 2, -12, 201
1717772109137, 2, -12, 201
1717772109148, 2, -12, 201
1717772109158, 2, -13, 201
1717772109169, 2, -13, 223
1717772109179, 2, -13, 201
1717772109191, 2, -14, 223
1717772109202, 2, -14, 223
1717772109213, 2, -14, 223
1717772109224, 2, -15, 223
1717772109235, 2, -15, 246
1717772109246, 2, -16, 223
1717772109257, 2, -16, 246
1717772109267, 2, -16, 246
1717772109278, 2, -17, 246
1717772109289, 2, -17, 246
1717772109300, 2, -18, 268
1717772109311, 2, -18, 246
1717772109322, 2, -19, 268
1717772109334, 2, -19, 268
1717772109345, 2, -20, 268
1717772109356, 2, -20, 290
1717772109366, 2, -21, 268
1717772109376, 2, -21, 290
1717772109387, 2, -22, 290
1717772109398, 2, -22, 290
1717772109408, 2, -22, 290
1717772109418, 2, -23, 290
1717772109428, 2, -24, 312
1717772109438, 2, -24, 312
1717772109449, 2, -25, 312
1717772109460, 2, -25, 312
1717772109471, 2, -26, 312
1717772109482, 2, -26, 335
1717772109494, 2, -27, 312
1717772109505, 2, -27, 335
1717772109515, 2, -28, 335
1717772109525, 2, -29, 357
1717772109535, 2, -29, 335
1717772109546, 2, -30, 357
1717772109556, 2, -30, 335
1717772109566, 2, -31, 379
1717772109576, 2, -32, 357
1717772109587, 2, -32, 357
1717772109597, 2, -33, 379
1717772109607, 2, -33, 357
1717772109617, 2, -34, 379
1717772109628, 2, -35, 402
1717772109638, 2, -35, 379
1717772109648, 2, -36, 379
1717772109659, 2, -37, 402
1717772109669, 2, -37, 402
