%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704355200418983443,-0.30957,-0.30957,-0.30957,-0.30957,0
1704355200918994838,-0.31309,-0.31309,-0.31309,-0.31309,0
1704355201419137322,-0.31631,-0.31631,-0.31631,-0.31631,0
1704355201919172504,-0.31925,-0.31925,-0.31925,-0.31925,0
1704355202419284567,-0.3219,-0.3219,-0.3219,-0.3219,0
1704355202919460249,-0.32428,-0.32428,-0.32428,-0.32428,0
1704355203419508159,-0.32639,-0.32639,-0.32639,-0.32639,0
1704355203919570757,-0.32825,-0.32825,-0.32825,-0.32825,0
1704355204419675272,-0.32986,-0.32986,-0.32986,-0.32986,0
1704355204919867477,-0.33123,-0.33123,-0.33123,-0.33123,0
1704355205420266229,-0.33238,-0.33238,-0.33238,-0.33238,0
1704355205920072569,-0.33332,-0.33332,-0.33332,-0.33332,0
1704355206420168419,-0.33407,-0.33407,-0.33407,-0.33407,0
1704355206920236247,-0.33465,-0.33465,-0.33465,-0.33465,0
1704355207420356075,-0.33507,-0.33507,-0.33507,-0.33507,0
1704355207920461878,-0.33536,-0.33536,-0.33536,-0.33536,0
1704355208420566076,-0.33554,-0.33554,-0.33554,-0.33554,0
1704355208920719429,-0.33564,-0.33564,-0.33564,-0.33564,0
1704355209420852287,-0.33568,-0.33568,-0.33568,-0.33568,0
1704355209920874255,-0.33568,-0.33568,-0.33568,-0.33568,0
1704355210420980501,-0.33568,-0.33568,-0.33568,-0.33568,0
1704355210921178530,-0.33568,-0.33568,-0.33568,-0.33568,0
1704355211421301431,-0.33565,-0.33565,-0.33565,-0.33565,0
1704355211921341742,-0.33556,-0.33556,-0.33556,-0.33556,0
1704355212422799992,-0.33538,-0.33538,-0.33538,-0.33538,0
1704355212922097396,-0.3351,-0.3351,-0.3351,-0.3351,0
1704355213422271226,-0.33469,-0.33469,-0.33469,-0.33469,0
1704355213922302136,-0.33412,-0.33412,-0.33412,-0.33412,0
1704355214422400033,-0.33339,-0.33339,-0.33339,-0.33339,0
1704355214922573987,-0.33246,-0.33246,-0.33246,-0.33246,0
1704355215422662605,-0.33133,-0.33133,-0.33133,-0.33133,0
1704355215922696724,-0.32998,-0.32998,-0.32998,-0.32998,0
1704355216422824765,-0.32839,-0.32839,-0.32839,-0.32839,0
1704355216922963641,-0.32656,-0.32656,-0.32656,-0.32656,0
1704355217423046045,-0.32447,-0.32447,-0.32447,-0.32447,0
1704355217923129915,-0.32211,-0.32211,-0.32211,-0.32211,0
1704355218423292217,-0.31948,-0.31948,-0.31948,-0.31948,0
1704355218923329673,-0.31657,-0.31657,-0.31657,-0.31657,0
1704355219423433722,-0.31337,-0.31337,-0.31337,-0.31337,0
1704355219923542661,-0.30989,-0.30989,-0.30989,-0.30989,0
1704355220423721043,-0.30611,-0.30611,-0.30611,-0.30611,0
1704355220924192840,-0.30204,-0.30204,-0.30204,-0.30204,0
