%time,field.data
1704355159444133804,0.0
1704355159444356006,0.0
1704355159445972617,0.0
1704355159446177202,0.0
1704355159446180290,0.0
1704355159449308521,0.0
1704355159449671537,0.0
1704355159450342911,0.0
1704355159451007181,0.0
1704355159451009895,0.0
1704355159451027889,0.0
1704355159451031416,0.0
1704355159451081354,0.0
1704355159451092268,0.0
1704355159451101933,0.0
1704355159451111021,0.0
1704355159451133942,0.0
1704355159451174712,0.0
1704355159451192788,0.0
1704355159586166330,0.0
1704355159587579758,0.0
1704355159587585205,0.0
1704355159587616883,0.0
1704355159587621024,0.0
1704355159587960448,0.0
1704355159587964729,0.0
1704355159587967960,0.0
1704355159587970243,0.0
1704355159587972366,0.0
1704355159587974582,0.0
1704355159587976944,0.0
1704355159588010312,0.0
1704355159588856172,0.0
1704355159588871156,0.0
1704355159733395317,0.0
1704355159733402071,0.0
1704355159733404878,0.0
1704355159733410015,0.0
1704355159733421108,0.0
1704355159733819290,0.0
1704355159733983463,0.0
1704355159733986914,0.0
1704355159734009331,0.0
1704355159734011448,0.0
1704355159734022998,0.0
1704355159734025138,0.0
1704355159734036978,0.0
1704355159734039764,0.0
1704355159734057372,0.0
1704355159734061181,0.0
1704355159734075881,0.0
1704355159876539724,0.0
1704355159876544349,0.0
1704355159876579505,0.0
1704355159876583301,0.0
1704355159876590887,0.0
1704355159876593988,0.0
1704355159876917563,0.0
1704355159877574075,0.0
1704355159877576387,0.0
1704355159877578364,0.0
1704355159877602472,0.0
1704355159878179593,0.0
1704355159878182500,0.0
1704355159878496784,0.0
1704355159878531078,0.0
1704355159878533560,0.0
1704355159878535909,0.0
1704355159878563008,0.0
1704355159878570716,0.0
1704355159878574491,0.0
1704355159878587302,0.0
1704355159878591982,0.0
1704355159878653554,0.0
1704355159878656263,0.0
1704355159878668302,0.0
1704355159878690216,0.0
1704355160092057396,0.0
1704355160092063405,0.0
1704355160094338859,0.0
1704355160094362972,0.0
1704355160238950136,0.0
1704355160238968599,0.0
1704355160238976817,0.0
1704355160239009627,0.0
1704355160239022049,0.0
1704355160239091519,0.0
1704355160239095259,0.0
1704355160239114716,0.0
1704355160381530477,0.0
1704355160381564020,0.0
1704355160381984029,0.0
1704355160382858602,0.0
1704355160383182572,0.0
1704355160505691227,0.0
1704355160506258292,0.0
1704355160506264298,0.0
1704355160506267489,0.0
1704355160506273293,0.0
1704355160506277709,0.0
1704355160506450121,0.0
1704355160519832901,0.0
1704355160523912952,0.0
1704355160523918455,0.0
1704355160652980318,0.0
1704355160652988187,0.0
1704355160652993733,0.0
1704355160653026858,0.0
1704355160653045355,0.0
1704355160653049860,0.0
1704355160653053223,0.0
1704355160653056134,0.0
1704355160653058306,0.0
1704355160653235592,0.0
1704355160653251573,0.0
1704355160654181669,0.0
1704355160654185853,0.0
1704355160654188390,0.0
1704355160813397124,0.0
1704355160815764431,0.0
1704355160815773002,0.0
1704355160815796076,0.0
1704355160815955516,0.0
1704355160816008370,0.0
1704355160970425926,0.0
1704355160970455747,0.0
1704355160970460691,0.0
1704355160970464085,0.0
1704355160971838787,0.0
1704355160971851218,0.0
1704355160971853770,0.0
1704355160971858288,0.0
1704355160971861136,0.0
1704355160971863733,0.0
1704355161104074303,0.0
1704355161104084277,0.0
1704355161104088739,0.0
1704355161104091976,0.0
1704355161104094756,0.0
1704355161104096733,0.0
1704355161104099079,0.0
1704355161104101497,0.0
1704355161104103704,0.0
1704355161104116926,0.0
1704355161104123977,0.0
1704355161105903189,0.0
1704355161105929787,0.0
1704355161262362916,0.0
1704355161262444586,0.0
1704355161262450928,0.0
1704355161262503775,0.0
1704355161262509965,0.0
1704355161262967625,0.0
1704355161262997683,0.0
1704355161263002893,0.0
1704355161263007133,0.0
1704355161263037492,0.0
1704355161263041704,0.0
1704355161263070137,0.0
1704355161263075171,0.0
1704355161263101669,0.0
1704355161376203500,0.0
1704355161376706639,0.0
1704355161376722895,0.0
1704355161376726504,0.0
1704355161376729155,0.0
1704355161376787972,0.0
1704355161376791345,0.0
1704355161376794280,0.0
1704355161376842550,0.0
1704355161376846402,0.0
1704355161376872328,0.0
1704355161537041422,0.0
1704355161537044940,0.0
1704355161537055756,0.0
1704355161537059215,0.0
1704355161537108019,0.0
1704355161537111812,0.0
1704355161537137290,0.0
1704355161537140998,0.0
1704355161537169080,0.0
1704355161537172167,0.0
1704355161537174717,0.0
1704355161537341927,0.0
1704355161537354938,0.0
1704355161690168865,0.0
1704355161690408924,0.0
1704355161690485836,0.0
1704355161842207433,0.0
1704355161842273548,0.0
1704355161842787725,0.0
1704355161842869248,0.0
1704355161842909728,0.0
1704355162009562898,0.0
1704355162011627765,0.0
1704355162114104060,0.0
1704355162114109449,0.0
1704355162115913928,0.0
1704355162115922871,0.0
1704355162115950534,0.0
1704355162115955501,0.0
1704355162115960349,0.0
1704355162115964406,0.0
1704355162115975895,0.0
1704355162116530718,0.0
1704355162116541532,0.0
1704355162116564091,0.0
1704355162116568532,0.0
1704355162252971097,0.0
1704355162252982943,0.0
1704355162252991064,0.0
1704355162253050893,0.0
1704355162403699502,0.0
1704355162403703364,0.0
1704355162403720893,0.0
1704355162403723533,0.0
1704355162403748466,0.0
1704355162403764795,0.0
1704355162403772339,0.0
1704355162403822280,0.0
1704355162403826526,0.0
1704355162403839196,0.0
1704355162403856204,0.0
1704355162406107640,0.0
1704355162406111189,0.0
1704355162555828778,0.0
1704355162555834007,0.0
1704355162555852219,0.0
1704355162555855201,0.0
1704355162555870121,0.0
1704355162555878770,0.0
1704355162555882056,0.0
1704355162555950175,0.0
1704355162555953007,0.0
1704355162555971614,0.0
1704355162555987625,0.0
1704355162556532442,0.0
1704355162699849085,0.0
1704355162700306803,0.0
1704355162700311086,0.0
1704355162856865523,0.0
1704355162856916807,0.0
1704355162856922109,0.0
1704355162857072442,0.0
1704355162860460081,0.0
1704355162996904211,0.0
1704355162996907767,0.0
1704355162996909843,0.0
1704355162996911718,0.0
1704355162996913829,0.0
1704355162996931220,0.0
1704355162996948885,0.0
1704355162999042667,0.0
1704355162999044691,0.0
1704355163149335949,0.0
1704355163149339793,0.0
1704355163149354511,0.0
1704355163149357972,0.0
1704355163151853287,0.0
1704355163151862775,0.0
1704355163151869959,0.0
1704355163151874853,0.0
1704355163152833429,0.0
1704355163152843247,0.0
1704355163152881128,0.0
1704355163152886167,0.0
1704355163298855536,0.0
1704355163298887282,0.0
1704355163298917912,0.0
1704355163298921737,0.0
1704355163299295182,0.0
1704355163299464247,0.0
1704355163299588737,0.0
1704355163442651443,0.0
1704355163442654813,0.0
1704355163442674750,0.0
1704355163442678470,0.0
1704355163442686745,0.0
1704355163442690879,0.0
