%time,field.data
1704358391193975338,0.0
1704358391193983392,0.0
1704358391194019970,0.0
1704358391194074942,0.0
1704358391202692141,0.0
1704358391584061219,0.0
1704358391584119392,0.0
1704358391584123441,0.0
1704358391584740114,0.0
1704358391585765015,0.0
1704358391585797512,0.0
1704358391585837846,0.0
1704358391588028682,0.0
1704358391729873114,0.0
1704358391729897131,0.0
1704358391729946387,0.0
1704358391729949978,0.0
1704358391730497516,0.0
1704358391730565206,0.0
1704358391730589730,0.0
1704358391730596289,0.0
1704358391730691421,0.0
1704358391730753463,0.0
1704358391730762215,0.0
1704358391733057939,0.0
1704358391733068531,0.0
1704358391733073741,0.0
1704358391733078336,0.0
1704358391733158632,0.0
1704358391873546209,0.0
1704358391874345750,0.0
1704358391874508860,0.0
1704358391876342316,0.0
1704358391876492410,0.0
1704358391876629504,0.0
1704358391876648642,0.0
1704358391876699224,0.0
1704358392043276196,0.0
1704358392045261886,0.0
1704358392045269999,0.0
1704358392048522147,0.0
1704358392048536386,0.0
1704358392048542107,0.0
1704358392048545311,0.0
1704358392142036960,0.0
1704358392142506948,0.0
1704358392142928259,0.0
1704358392143548494,0.0
1704358392144033192,0.0
1704358392458993155,0.0
1704358392461863266,0.0
1704358392461875260,0.0
1704358392461879397,0.0
1704358392461890585,0.0
1704358392580545672,0.0
1704358392581326568,0.0
1704358392581364922,0.0
1704358392581458094,0.0
1704358392581465624,0.0
1704358392581469326,0.0
1704358392855224128,0.0
1704358392855235047,0.0
1704358392855239949,0.0
1704358392855415402,0.0
1704358392855786769,0.0
1704358392855794316,0.0
1704358392870295385,0.0
1704358392874151073,0.0
1704358392874267461,0.0
1704358392874277270,0.0
1704358392874327511,0.0
1704358393029423699,0.0
1704358393029523385,0.0
1704358393029532133,0.0
1704358393029535886,0.0
1704358393029541116,0.0
1704358393029561665,0.0
1704358393343706276,-1.3912767465897654e-06
1704358393343723118,-1.3912767465897654e-06
1704358393344649681,-1.3912767465897654e-06
1704358393344656239,-1.3912767465897654e-06
1704358393344661633,-1.3912767465897654e-06
1704358393344936858,-1.3912767465897654e-06
1704358393446432899,-1.3912767465897654e-06
1704358393446442813,-1.3912767465897654e-06
1704358393446473989,-1.3912767465897654e-06
1704358393446500688,-1.3912767465897654e-06
1704358393447213812,-1.3912767465897654e-06
1704358393447218875,-1.3912767465897654e-06
1704358393740069551,-1.3912767465897654e-06
1704358393740082475,-1.3912767465897654e-06
1704358393740089423,-5.5651069863590615e-06
1704358393740200715,-6.9563837329488275e-06
1704358393740204829,-8.347660479538593e-06
1704358393740208214,-9.73893722612836e-06
1704358393740800431,-1.1130213972718123e-05
1704358393741139020,-1.252149071930789e-05
1704358393902902237,-1.3912767465897655e-05
1704358393902913399,-3.478191866474414e-05
1704358393902972966,-5.425979311700086e-05
1704358393902980805,-5.565106986359062e-05
1704358393903002361,-5.704234661018038e-05
1704358393905136081,-5.982490010335992e-05
1704358393905146594,-6.121617684994969e-05
1704358394028003654,-7.512894431584734e-05
1704358394028042671,-8.208532804879616e-05
1704358394028419694,-8.765043503515523e-05
1704358394029881124,-9.599809551469382e-05
1704358394029922221,-0.0001043457559942324
1704358394029926951,-0.00010712830948741194
1704358394029931104,-0.00010991086298059148
1704358394029933677,-0.00011130213972718124
1704358394029952840,-0.00011408469322036075
1704358394219973084,-0.0001279974606862584
1704358394219983779,-0.00013217129092602773
1704358394222736988,-0.00015164916537828443
1704358394222793966,-0.0001530404421248742
1704358394222800011,-0.0001530404421248742
1704358394222817273,-0.000154431718871464
1704358394222839629,-0.00015582299561805375
1704358394463668918,-0.00021982172596118297
1704358394463705982,-0.00023929960041343967
1704358394467393993,-0.00024903853763956805
1704358394467429997,-0.00025182109113274756
1704358394468541071,-0.0002546036446259271
1704358394468594391,-0.00025738619811910664
1704358394468625355,-0.0002601687516122862
1704358394604089569,-0.0002629513051054657
1704358394604101807,-0.0002657338585986452
