%time,field.data
1704358391193566314,0.0
1704358391193708190,0.0
1704358391193746321,0.0
1704358391193777744,0.0
1704358391193819453,0.0
1704358391193830125,0.0
1704358391193860541,0.0
1704358391193895027,0.0
1704358391318053542,0.0
1704358391584748622,0.0
1704358391584779264,0.0
1704358391585843454,0.0
1704358391585847020,0.0
1704358391585897638,0.0
1704358391730824849,0.0
1704358391730832735,0.0
1704358391730836907,0.0
1704358391730874602,0.0
1704358391730877698,0.0
1704358391730971836,0.0
1704358391730977560,0.0
1704358391730980716,0.0
1704358391730990673,0.0
1704358391730994509,0.0
1704358391730997679,0.0
1704358391733197188,0.0
1704358391733199522,0.0
1704358391733221470,0.0
1704358391733244909,0.0
1704358391733249026,0.0
1704358391733276097,0.0
1704358391874654558,0.0
1704358391874784892,0.0
1704358391876749841,0.0
1704358391876813748,0.0
1704358391876867694,0.0
1704358391876919080,0.0
1704358391876968395,0.0
1704358391877014109,0.0
1704358392043285985,0.0
1704358392043343694,0.0
1704358392045273666,0.0
1704358392045339452,0.0
1704358392048678065,0.0
1704358392048682871,0.0
1704358392048732032,0.0
1704358392141928276,0.0
1704358392141939272,0.0
1704358392141952957,0.0
1704358392142034882,0.0
1704358392142121058,0.0
1704358392142515472,0.0
1704358392143260006,0.0
1704358392144024026,0.0
1704358392359825482,0.0
1704358392458586131,0.0
1704358392458596215,0.0
1704358392458693451,0.0
1704358392460432756,0.0
1704358392461893179,0.0
1704358392461951959,0.0
1704358392461956365,0.0
1704358392580553634,0.0
1704358392580559071,0.0
1704358392580562206,0.0
1704358392581504657,0.0
1704358392581539262,0.0
1704358392581552267,0.0
1704358392581580067,0.0
1704358392855243828,0.0
1704358392855246703,0.0
1704358392855262278,0.0
1704358392855265892,0.0
1704358392855321636,0.0
1704358392855421142,0.0
1704358392855796965,0.0
1704358392869813435,0.0
1704358392870126431,0.0
1704358392874477272,0.0
1704358392874503994,0.0
1704358392874713284,0.0
1704358392874720814,0.0
1704358393029575372,0.0
1704358393029578545,0.0
1704358393029587937,0.0
1704358393029620477,0.0
1704358393029624874,0.0
1704358393029902460,0.0
1704358393029910667,0.0
1704358393029912825,0.0
1704358393308852255,0.0
1704358393342786185,0.0
1704358393342794457,0.0
1704358393342802785,0.0
1704358393342821990,0.0
1704358393343699639,-1.3912767465897654e-06
1704358393344502231,-1.3912767465897654e-06
1704358393344601901,-1.3912767465897654e-06
1704358393344615598,-1.3912767465897654e-06
1704358393344636240,-1.3912767465897654e-06
1704358393446524394,-1.3912767465897654e-06
1704358393446556292,-4.173830239769296e-06
1704358393446585470,-4.173830239769296e-06
1704358393446613963,-4.173830239769296e-06
1704358393446644259,-4.173830239769296e-06
1704358393447203809,-4.173830239769296e-06
1704358393740082397,-5.5651069863590615e-06
1704358393740087979,-8.347660479538593e-06
1704358393740210780,-9.73893722612836e-06
1704358393740213896,-9.73893722612836e-06
1704358393740421633,-9.73893722612836e-06
1704358393740789419,-1.1130213972718123e-05
1704358393741495869,-1.252149071930789e-05
1704358393902913224,-1.5304044212487422e-05
1704358393903042282,-1.6695320959077185e-05
1704358393903164330,-1.8086597705666952e-05
1704358393903171870,-1.947787445225672e-05
1704358393905174975,-2.0869151198846483e-05
1704358393905828194,-2.0869151198846483e-05
1704358394029956984,-2.2260427945436246e-05
1704358394029970127,-2.782553493179531e-05
1704358394029973066,-4.1738302397692965e-05
1704358394030562008,-4.3129579144282735e-05
1704358394030570094,-4.3129579144282735e-05
1704358394030574406,-4.452085589087249e-05
1704358394030628932,-4.591213263746226e-05
1704358394220037486,-4.730340938405203e-05
1704358394220041837,-7.791149780902688e-05
1704358394222862564,-8.765043503515523e-05
1704358394222865427,-9.043298852833475e-05
1704358394222875050,-9.32155420215143e-05
1704358394222897131,-9.599809551469382e-05
1704358394222914470,-9.738937226128358e-05
1704358394403952817,-9.878064900787336e-05
1704358394463777306,-0.00012243235369989938
1704358394463781225,-0.00014330150489874583
1704358394467464546,-0.00017390959332372067
1704358394467499887,-0.00017808342356348997
1704358394468659908,-0.0001822572538032593
1704358394468689029,-0.00018503980729643883
1704358394468718152,-0.00018921363753620813
1704358394604130196,-0.0001933874677759774
1704358394604133890,-0.00019756129801574673
1704358394604137085,-0.00021982172596118297
1704358394604148606,-0.0002351257701736704
1704358394604160648,-0.00024764726089297826
1704358394604170535,-0.00026156002835887594
1704358394604429669,-0.0002657338585986452
1704358394604460756,-0.00026712513534523497
1704358394604491765,-0.00026990768883841453
1704358394604523106,-0.00027269024233159405
1704358394604554416,-0.0002740815190781838
1704358394885087618,-0.0003339064191815437
1704358394885094040,-0.0003756447215792367
1704358394885097709,-0.0003839923820587753
1704358394885202337,-0.0003895574890451343
1704358394885210669,-0.00039373131928490367
1704358394885214984,-0.00039790514952467296
1704358394885218921,-0.0004020789797644422
1704358395044983837,-0.0004062528100042115
1704358395044993665,-0.00044520855890872496
1704358395045012993,-0.0004869468613064178
1704358395045592784,-0.0004897294147995975
1704358395045623293,-0.0004939032450393667
1704358395045627227,-0.0004966857985325463
1704358395045641703,-0.0005008596287723156
1704358395045645770,-0.0005036421822654951
1704358395339402013,-0.0005885100638074708
1704358395339403644,-0.0006288570894585739
1704358395339449016,-0.0006650302848699079
1704358395339506095,-0.0007109424175073701
1704358395339510494,-0.0007151162477471396
1704358395339827525,-0.000717898801240319
1704358395340083288,-0.0007220726314800883
1704358395340120810,-0.0007262464617198576
1704358395497954754,-0.0007304202919596269
1704358395497959954,-0.0007665934873709607
1704358395497965098,-0.0008041579595288844
1704358395498017270,-0.0008236358339811412
1704358395498058413,-0.00083059221771409
1704358395498061491,-0.0008361573247004492
1704358395498081548,-0.0008431137084333979
1704358395498084376,-0.0008500700921663467
1704358395618441787,-0.0008570264758992955
1704358395618711222,-0.0008820694573379113
1704358395618732624,-0.0008848520108310909
1704358395618737691,-0.0008862432875776806
1704358395618742135,-0.0008890258410708601
