%time,field.data
1704359018022827327,0.0
1704359018022830662,0.0
1704359018028638402,0.0
1704359018028640894,0.0
1704359018028880292,0.0
1704359018157121006,0.0
1704359018157254539,0.0
1704359018157293553,0.0
1704359018158143705,0.0
1704359018158520547,0.0
1704359018158569823,0.0
1704359018296693785,0.0
1704359018296697233,0.0
1704359018296700995,0.0
1704359018296716824,0.0
1704359018297386845,0.0
1704359018297397758,0.0
1704359018297407553,0.0
1704359018298392550,0.0
1704359018298400418,0.0
1704359018455310884,0.0
1704359018455325519,0.0
1704359018455441999,0.0
1704359018455444995,0.0
1704359018455461702,0.0
1704359018608865212,0.0
1704359018609103958,0.0
1704359018610017567,0.0
1704359018610067913,0.0
1704359018610463324,0.0
1704359018611730917,0.0
1704359018920685002,0.0
1704359018920728215,0.0
1704359018920745592,0.0
1704359018920785711,0.0
1704359018920809056,0.0
1704359018920841851,0.0
1704359018920886759,0.0
1704359018921211650,0.0
1704359018921241939,0.0
1704359018921273168,0.0
1704359018921309008,0.0
1704359018921371436,0.0
1704359019027768136,0.0
1704359019027920489,0.0
1704359019027923180,0.0
1704359019027925876,0.0
1704359019027928645,0.0
1704359019028307298,0.0
1704359019179514734,0.0
1704359019179648106,0.0
1704359019179653039,0.0
1704359019180242492,0.0
1704359019180246045,0.0
1704359019180249363,0.0
1704359019486760294,-4.173830239769296e-06
1704359019487287148,-4.173830239769296e-06
1704359019487290860,-4.173830239769296e-06
1704359019487293266,-5.5651069863590615e-06
1704359019487649834,-5.5651069863590615e-06
1704359019635527894,-9.73893722612836e-06
1704359019635741092,-1.1130213972718123e-05
1704359019635746791,-1.1130213972718123e-05
1704359019635750422,-1.1130213972718123e-05
1704359019636001128,-1.252149071930789e-05
1704359019636119644,-1.3912767465897655e-05
1704359019784433725,-2.504298143861578e-05
1704359019784611040,-4.452085589087249e-05
1704359019784896112,-4.591213263746226e-05
1704359019785140760,-4.730340938405203e-05
1704359019785444809,-4.730340938405203e-05
1704359019785627576,-4.730340938405203e-05
1704359019947240061,-5.982490010335992e-05
1704359019947243208,-9.182426527492452e-05
1704359019947871673,-0.00010156320250105288
1704359019947875549,-0.00010295447924764265
1704359019949363564,-0.0001043457559942324
1704359019949749144,-0.00010573703274082217
1704359019949789917,-0.00010712830948741194
1704359020086123019,-0.00017947470031007975
1704359020088494819,-0.00018503980729643883
1704359020088630949,-0.00018921363753620813
1704359020088783709,-0.00019477874452256716
1704359020089032930,-0.000201735128255516
1704359020236722979,-0.0002086915119884648
1704359020236851546,-0.00030329833075656886
1704359020236862922,-0.0003728621680860572
1704359020237210417,-0.00037842727507241626
1704359020237271832,-0.0003839923820587753
1704359020237343173,-0.0003895574890451343
1704359020237350526,-0.00039373131928490367
1704359020341580986,-0.000617726875485856
1704359020342164180,-0.0006246832592188047
1704359020342645478,-0.0006330309196983433
1704359020342698926,-0.0006399873034312922
1704359020343454747,-0.0006469436871642408
1704359020491650370,-0.0007123336942539599
