%time,field.data
1704359017897641989,0.0
1704359017897684837,0.0
1704359017897688474,0.0
1704359017897707351,0.0
1704359017897788150,0.0
1704359017897800297,0.0
1704359018049573947,0.0
1704359018049584413,0.0
1704359018049587506,0.0
1704359018049590145,0.0
1704359018049592606,0.0
1704359018050184482,0.0
1704359018050187822,0.0
1704359018050243463,0.0
1704359018191795466,0.0
1704359018191899082,0.0
1704359018191904003,0.0
1704359018191906853,0.0
1704359018191910201,0.0
1704359018194749445,0.0
1704359018194760324,0.0
1704359018194767210,0.0
1704359018194771026,0.0
1704359018194786622,0.0
1704359018194799835,0.0
1704359018206124258,0.0
1704359018206134652,0.0
1704359018331520724,0.0
1704359018331596474,0.0
1704359018331599849,0.0
1704359018331628072,0.0
1704359018331656163,0.0
1704359018331775298,0.0
1704359018331957643,0.0
1704359018331961309,0.0
1704359018331964312,0.0
1704359018494449358,0.0
1704359018494507861,0.0
1704359018494511530,0.0
1704359018494515075,0.0
1704359018496320487,0.0
1704359018496324105,0.0
1704359018648719773,0.0
1704359018648730196,0.0
1704359018648734297,0.0
1704359018648737417,0.0
1704359018648755637,0.0
1704359018648761242,0.0
1704359018648764225,0.0
1704359018648833255,0.0
1704359018648939322,0.0
1704359018772797748,0.0
1704359018772812623,0.0
1704359018772815608,0.0
1704359018772818972,0.0
1704359018772852189,0.0
1704359018772964092,0.0
1704359018773396441,0.0
1704359018773535416,0.0
1704359018944141905,0.0
1704359018944145932,0.0
1704359018944147808,0.0
1704359018944171151,0.0
1704359019071214086,0.0
1704359019071890679,0.0
1704359019072012592,0.0
1704359019095184941,0.0
1704359019095195844,0.0
1704359019095201228,0.0
1704359019095205405,0.0
1704359019095209605,0.0
1704359019219307094,0.0
1704359019219318064,0.0
1704359019219321755,0.0
1704359019219329837,0.0
1704359019219338155,0.0
1704359019219353161,0.0
1704359019219357907,0.0
1704359019220475251,0.0
1704359019381328242,0.0
1704359019381339536,0.0
1704359019381346066,0.0
1704359019381352537,0.0
1704359019382466394,0.0
1704359019382532915,0.0
1704359019382861060,0.0
1704359019382869281,0.0
1704359019382905258,0.0
1704359019382915372,0.0
1704359019382940821,0.0
1704359019382943400,0.0
1704359019382971377,0.0
1704359019525696146,0.0
1704359019525735487,0.0
1704359019525777831,0.0
1704359019525877925,0.0
1704359019525888951,0.0
1704359019525892938,0.0
1704359019525898761,0.0
1704359019525902728,0.0
1704359019525921712,0.0
1704359019525943375,0.0
1704359019525948504,0.0
1704359019526611898,0.0
1704359019526628870,0.0
1704359019682053341,0.0
1704359019682072052,0.0
1704359019682080054,0.0
1704359019682083099,0.0
1704359019682088619,0.0
1704359019682091390,0.0
1704359019682103304,0.0
1704359019682157030,0.0
1704359019682191236,0.0
1704359019682207087,0.0
1704359019682228349,0.0
1704359019832909442,0.0
1704359019833045909,0.0
1704359019833053075,0.0
1704359019833060556,0.0
1704359019833138222,0.0
1704359019833140923,0.0
1704359019834838866,0.0
1704359019835097131,0.0
1704359020009617351,0.0
1704359020011101065,0.0
1704359020011203245,0.0
1704359020011209498,0.0
1704359020011236535,0.0
1704359020011241057,0.0
1704359020011271598,0.0
1704359020013261213,0.0
1704359020013613315,0.0
1704359020112502902,0.0
1704359020112621091,0.0
1704359020112684185,0.0
1704359020112691027,0.0
1704359020112771592,0.0
1704359020112778628,0.0
1704359020112827898,0.0
1704359020112858189,0.0
1704359020112912948,0.0
1704359020112977888,0.0
1704359020113030415,0.0
1704359020113036903,0.0
1704359020263661404,0.0
1704359020263673396,0.0
1704359020263677177,0.0
1704359020263680230,0.0
1704359020263683248,0.0
1704359020263692807,0.0
1704359020263702470,0.0
1704359020263706813,0.0
1704359020263719671,0.0
